N,T,pk,pm,fx
65,50,0.85,0.01,1.9718999999999998
70,50,0.85,0.01,1.9905200000000003
75,50,0.85,0.01,1.9785600000000003
80,50,0.85,0.01,1.98868
30,50,0.9,0.01,1.8610900000000001
35,50,0.9,0.01,1.92396
40,50,0.9,0.01,1.9125499999999998
45,50,0.9,0.01,1.9407400000000004
50,50,0.9,0.01,1.95646
55,50,0.9,0.01,1.9556500000000003
60,50,0.9,0.01,1.9677
65,50,0.9,0.01,1.9841500000000003
70,50,0.9,0.01,1.9758399999999998
75,50,0.9,0.01,1.9673399999999999
80,50,0.9,0.01,1.98825
30,60,0.5,0.0001,1.72464
35,60,0.5,0.0001,1.7544000000000008
40,60,0.5,0.0001,1.7691200000000002
45,60,0.5,0.0001,1.77355
50,60,0.5,0.0001,1.8426600000000004
55,60,0.5,0.0001,1.8310200000000003
60,60,0.5,0.0001,1.8374700000000006
65,60,0.5,0.0001,1.88469
70,60,0.5,0.0001,1.90272
75,60,0.5,0.0001,1.9157000000000008
80,60,0.5,0.0001,1.93987
30,60,0.55,0.0001,1.717830000000001
35,60,0.55,0.0001,1.7205000000000006
40,60,0.55,0.0001,1.7929899999999999
45,60,0.55,0.0001,1.8144900000000002
50,60,0.55,0.0001,1.8422600000000005
55,60,0.55,0.0001,1.8596499999999994
60,60,0.55,0.0001,1.8935799999999994
65,60,0.55,0.0001,1.88594
70,60,0.55,0.0001,1.9052399999999998
75,60,0.55,0.0001,1.9032599999999997
80,60,0.55,0.0001,1.9093599999999995
30,60,0.6,0.0001,1.76916
35,60,0.6,0.0001,1.7796299999999994
40,60,0.6,0.0001,1.785320000000001
45,60,0.6,0.0001,1.8223299999999998
50,60,0.6,0.0001,1.8433700000000004
55,60,0.6,0.0001,1.85344
60,60,0.6,0.0001,1.8834900000000008
65,60,0.6,0.0001,1.8967400000000003
70,60,0.6,0.0001,1.91792
75,60,0.6,0.0001,1.9148000000000005
80,60,0.6,0.0001,1.9233499999999994
30,60,0.65,0.0001,1.760280000000001
35,60,0.65,0.0001,1.7974100000000006
40,60,0.65,0.0001,1.80992
45,60,0.65,0.0001,1.8370500000000007
50,60,0.65,0.0001,1.8681900000000005
55,60,0.65,0.0001,1.86733
60,60,0.65,0.0001,1.9102600000000003
65,60,0.65,0.0001,1.9029800000000001
70,60,0.65,0.0001,1.8966199999999998
75,60,0.65,0.0001,1.9256000000000002
80,60,0.65,0.0001,1.9366599999999996
30,60,0.7,0.0001,1.7648500000000007
35,60,0.7,0.0001,1.8019299999999998
40,60,0.7,0.0001,1.8217900000000011
45,60,0.7,0.0001,1.8595899999999999
50,60,0.7,0.0001,1.8567800000000005
55,60,0.7,0.0001,1.85785
60,60,0.7,0.0001,1.9213999999999996
65,60,0.7,0.0001,1.8976499999999996
70,60,0.7,0.0001,1.9035400000000005
75,60,0.7,0.0001,1.9194699999999998
